review_id,user_id,restaurant_id,review_text,rating,timestamp
1,1,1,"Makanan gak selezat dulu. Setelah pindah lokasi ke yg baru ini, memang interior ruangan lebih cantik dan nyaman, tapi rasa makanan bergerak sebaliknya, tidak seenak dulu. Mungkin sudah ganti chef nya.",4.0,21/06/25 04.26
2,2,1,"#VALSWITHUMKM resep chinese food otentik dari tahun 1980 ada disini, GOKS‼️ @restomandala restoran legendaris ini menyajikan semua menu chinese food yang rasanya otentik..Mempunyai tampilan restorant dengan wajah baru yang lebih fresh, …",3.0,09/04/25 11.29
3,3,1,"Tipikal Chinese food halal. Enak, hanya saja sulit untuk tidak mengcompare dengan pendahulu nya yang ada beberapa ratus meter sebelum resto ini, yang sekarang sudah tutup. …",3.0,10/03/25 10.02
4,4,1,"Diajakin temen makan di sini karena lagi pengen buka puasa pake chinese food, karena deket dari kantor langsung cuss ke sini. Di tiap kursi udah tersedia alat makannya ya dan tatakan piringnya ada permainan ular tangga, jadi sambil nunggu …",3.0,31/01/25 06.32
5,5,1,"Awal saya mengenal restoran ini adalah dengan nama Mandala. Tahun 1995 saya menikah dengan istri saya, yang tinggal di Pondok Jaya, Mampang …",5.0,29/10/24 20.20
6,6,1,masakan porsi besar cukup untuk makan tengah dengan 1 grup besar. menu makanan bervariatif dengan tema chinese food. seingat saya tidak menjual menu berbahan babi. dekorasinya menarik sekali. bisa dipesan via aplikasi pesan antar …,3.0,29/08/24 19.02
7,7,1,"Tak menyangka menemukan Chinese food restoran dengan cita rasa yang cukup otentik di kawasan Jakarta Selatan! 👍🏽 Hanya saja, Kangkung Hot Plate Sapi -nya, agak tawar rasanya. Namun cukup …",5.0,31/05/25 07.14
8,8,1,"chinese food no pork no lard, porsinya gede bisa buat sharing 3-4 orang. pilihan menunya juga lumayan banyak",5.0,29/05/25 11.33
9,9,1,"Ini restaurant bagus n menarik design interiornya, cuma mutu makanan dan service sangat tidak bagus. …",3.0,07/09/24 22.44
10,10,1,"Pelayanannya bagus banget, tempatnya nyaman dingin & bersih. buat makanannya oke kodok goreng tepung, enak.",4.0,31/12/24 09.46
11,11,2,"Makanan enak dan bersih, ruangan indoornya juga nyaman. Harganya standar Jaksel. Bisa bayar pakai QRIS. Sayang bangku di indoor tidak terlalu banyak dan sempat ada yang ngobrol lumayan lama. Mungkin kalau ada bangku tambahan menghadap jendela jadi bisa muat lebih banyak orang.",3.0,14/10/24 02.41
12,12,2,Enak banget masakannya ala rumahan gitu. Gue suka banget sama oseng telor bandeng (bandeng suwir dioseng sama telor orak arik). …,5.0,01/01/25 16.37
13,13,2,love the food & ambience! serasa makan makanan rumah. dan kamar mandinya jg suprisingly bersih dan proper,5.0,05/01/25 11.09
14,14,2,Warteg kekinian vibes kalcer. Menu chinese food dengan pilihan yang cukup beragam. Bisa makan ditempat. Duduk in door dan out door space.,5.0,22/11/24 00.54
15,15,2,"Love the soft and cool music & reasonable food price. Indoor flooring can be cleaner. Kami datang sore pas agak mendung. Jadi AC cukup memadai. Sukses terus ya, we'll come back for more late lunches.",3.0,02/12/24 16.57
16,16,2,"Warteg yang cukup oke buat nongkrong, tetapi klo buat makan menurutku B aja. Walaupun konsepnya kayak warteg, tetapi mostly menunya Chinese Food. Tempat outdoor nya cukup recommended buat menghabiskan waktu sambil sebat mungkin, playlist lagunya juga cukup oke.",4.0,18/05/25 03.24
17,17,2,"Tempatnya nyaman ada indoor dan outdoornya, toiletnya juga rapih dan bersih, tapi parkiran kendaraan roda dua dan roda empat benar-benar sangat terbatas. Menu-menunya OK terasa hommy. …",3.0,07/10/24 02.52
18,18,2,"1. suasana OK utk masakan warteg, dingin, bersih, AC 2. kualitas makanan yg harus harus ditingkatkan. Jangan sampai kita membeli dan merasakan makanan terbersit, ini fresh atau masakan kemarin. …",5.0,14/03/25 22.16
19,19,2,"Pertama kali mau coba makanan disini karena lihat dr tiktok . Gw ambil paket yg ada es teh manisnya , krna gw take away masa paketan es teh manis tidak bs dibawa pulang aneh banget !! …",5.0,08/02/25 01.23
20,20,2,"Ke tempat ini utk sarapan dan datang pas RM ini baru buka, terletak di pinggir jalan yg tdk terlalu besar, ada parkir motor dlm jml yg tdk terlalu banyak dan utk mobil rasanya harus parkir di pinggir jalan, suasana tempat bersih, rapih, di …",4.0,11/03/25 23.14
